sample	Acidimicrobiia	Actinomycetes	Alphaproteobacteria	B15-G4	Bacilli	Bacteroidia	Binatia	Blastocatellia	Brocadiia	Chlamydiia	Dehalococcoidia	Eurotiomycetes	Gammaproteobacteria	Gemmatimonadetes	MHYJ01	Methylomirabilia	Nitrososphaeria	Nitrospiria	Planctomycetia	Terriglobia	Thermoanaerobaculia	Thermoleophilia	UBA1135	UBA4738	UBA9160	Verrucomicrobiia	Vicinamibacteria	Zhuqueibacteria
SRR24887495	0.6001	0.465	14.790399999999998	0.0	0.0	0.0	1.4803	1.6879	0.0	0.2072	0.0	0.0	33.457499999999996	2.4403	0.0	13.506499999999999	4.5055000000000005	5.8202	0.0	0.0	2.4636	0.0	0.0	1.0948	0.0	0.0	17.4802	0.0
SRR24887496	1.0975	0.0	12.937500000000002	0.0	0.0	0.0	1.3549	1.6723	0.0	0.3857	0.0	0.0	30.8776	1.5077	0.0	13.3051	14.547	5.0999	0.0	0.0	2.0891	0.0	0.0	1.1815	0.0	0.0	13.944300000000002	0.0
SRR24887501	1.4416	0.4388	14.4301	0.0	0.0	0.3415	1.7387000000000001	1.7764	0.0	0.2548	0.0	0.0	34.864599999999996	0.0	0.0	9.2026	8.0154	4.2519	0.0	0.0	2.3915	0.0	2.4146	1.6557	0.0	0.0	16.7819	0.0
SRR24887502	1.6937	2.9058	16.869600000000005	0.0	0.1625	0.2449	1.458	1.4312999999999998	0.0	0.6387	0.0	0.0	20.701800000000006	3.0535999999999994	0.0	10.328	13.688900000000002	4.1087	0.0	0.0	0.0	0.0	0.0	1.5293	0.0	0.0	21.185399999999998	0.0
SRR24887504	3.4806	0.9621999999999999	20.2268	0.0	0.0	0.0	2.758	0.0	0.0	0.1905	0.0	0.0	24.358800000000002	0.0	0.0	10.4629	9.663699999999999	4.545100000000001	0.0	0.0	0.0	0.0	0.0	3.9359	0.0	0.0	19.4152	0.0
SRR24887505	4.1999	0.0	14.1241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.2533	0.0	0.0	9.5395	34.411899999999996	6.4715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24887506	1.3004	1.082	10.4337	0.0	0.0	0.0	1.5905999999999998	1.4018000000000002	0.0553	0.2922	0.0	0.0	31.357899999999997	0.0	0.0	7.735799999999999	16.8992	6.0600000000000005	0.0	0.0	2.2439	0.0	1.5448	1.8542999999999998	0.0	0.0	16.1481	0.0
SRR24887507	2.3717	1.0463	12.422500000000001	0.0	0.0	0.0	1.5781	3.1033	0.1597	0.274	0.0	0.0	39.636100000000006	0.0	0.0	10.1587	11.6925	3.5856	0.0	0.0	2.7695	0.0	2.1374	3.3136	0.0	0.0	5.7511	0.0
SRR24887508	2.0732	0.0	9.684899999999999	1.5981	0.0	0.0	1.5144	0.0	0.4164	0.0	0.0	0.0	40.116600000000005	0.0	0.0	4.8422	24.593200000000003	8.1	0.0	0.0	0.0	0.0	0.0	2.3778	0.0	0.0	4.6833	0.0
SRR24887527	1.6711999999999998	0.0	10.0903	1.146	0.0	0.0	1.7515	1.4134	0.3615	0.1753	0.0	0.0	40.73159999999999	0.0	0.0	6.6969	22.7631	6.473999999999999	0.0	0.0	0.0	0.0	0.0	1.9949999999999999	0.0	0.0	4.7299999999999995	0.0
SRR24887632	2.3843	0.7973	15.049299999999999	1.7381	0.0	0.0	1.3926	1.0505	0.3268	0.4673	0.1176	0.0	35.496700000000004	0.0	0.0	5.1061	20.341300000000004	4.2875	0.0	0.0	2.1874	0.0	0.0	5.0451999999999995	0.0	0.0	4.2116999999999996	0.0
SRR24887633	1.1311	0.4982	10.971700000000002	0.0	0.0	0.0	1.0106	0.9889	0.0	0.241	0.0	0.0	33.2693	0.0	0.0	3.4115	22.597199999999997	6.8212	0.0	0.0	0.0	0.0	0.0	1.3198	0.0	0.0	17.739500000000003	0.0
SRR24887634	2.3969	0.0	15.6153	0.0	0.0	0.0	2.5233	0.0	0.0	0.0	0.0	0.0	29.0023	0.0	0.0	5.2342	40.3334	4.8946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24887635	0.0	0.0	22.3214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.774	0.0	0.0	6.2636	21.3963	7.2447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24887636	0.7215	0.7216	8.932399999999998	0.0	0.0	0.0	1.1386	0.9144	0.0995	0.1661	0.0	0.0	40.5304	0.0	0.0	2.1282	21.4955	6.6947	0.0	0.0	0.0	0.0	0.0	1.7058	0.0	0.0	14.751100000000001	0.0
SRR24887766	0.0	0.0	18.1332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5114	0.0	0.0	6.5708	27.1539	8.6306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24887773	1.6149	5.6766	17.859	0.0	0.6895	0.0	1.0975	1.4879	0.0	1.0067	0.0	0.0844	21.744899999999998	2.9009	0.0	12.1051	13.286499999999998	3.5654999999999997	0.0	0.0	1.8934	0.3488	0.0	1.4544	0.0	0.0	13.184600000000001	0.0
SRR24887774	2.2938	1.6947999999999999	24.6533	0.4448	0.0	0.0	1.7403	1.4169	0.1383	0.2153	0.0	0.0	28.5135	0.0	0.0	5.1801	6.4336	9.7465	0.0	0.0	0.0	0.0	0.0	1.4129	0.0	0.2881	15.8277	0.0
SRR24887777	1.4975999999999998	0.7032	11.4629	0.0	0.0	0.0	1.0201	0.9845	0.1938	0.3768	0.0	0.0	28.400299999999998	0.0	0.0	5.534	25.1558	6.0747	0.0	0.0	0.0	0.5164	0.0	2.0338000000000003	0.0	0.0	16.0455	0.0
SRR24888034	1.7932	4.3770999999999995	11.848700000000001	0.0	0.3954	0.0	1.4171	1.6745	0.0726	0.2556	0.0	0.0	34.0424	0.0	0.0	7.5314000000000005	15.099900000000002	4.8980999999999995	0.0	0.0	1.6422	0.3936	1.5222	5.0809999999999995	0.0	0.0	7.9551	0.0
SRR24888047	0.7134	0.7401	18.9869	0.0	0.0	0.0	1.1648	2.1327	0.0	0.3082	0.0	0.0	33.8592	2.3794	0.0	11.2966	7.6967	2.9519999999999995	0.0	0.0	2.6706	0.0	0.0	1.1607	0.0	0.0	13.9388	0.0
SRR24888113	1.6593	0.6652	12.180200000000001	0.8843	0.0321	0.0	1.4533999999999998	0.649	0.2162	0.5193	0.0	0.0	34.6104	0.0	0.0	4.5967	20.8351	4.819100000000001	0.0	0.0	0.0	0.0	0.0	2.2297000000000002	0.0	0.0	14.649999999999999	0.0
SRR24888123	1.7156	0.4791	13.7672	0.8463	0.1797	0.3043	1.9788000000000001	0.842	0.1635	0.2211	0.0	0.0	33.3373	0.0	0.0	2.8286	20.606899999999996	6.1713000000000005	0.0	0.0	2.1895	0.0	0.0	1.7136	0.0	0.0	12.655399999999998	0.0
SRR24888217	1.7193	0.8082	15.9108	0.0	0.0	0.0	1.1097000000000001	1.0043	0.1856	0.6263	0.0	0.0	27.3859	0.0	0.0	4.0638	22.402300000000004	6.317	0.0	0.0	4.7358	0.6549	0.0	3.5913	0.0	0.0	9.4845	0.0
SRR24888308	0.7372	0.2515	18.4353	0.0	0.0	0.1586	1.7382999999999997	0.4655	0.5788	0.3707	0.0	0.0	38.80699999999999	0.0	0.6125	6.094899999999999	8.7932	10.768399999999998	0.0	0.0	0.0	0.0	0.0	1.0267	0.0	0.0	11.161100000000001	0.0
SRR24888309	1.6988	0.9943	20.6742	0.0	0.0	0.0	0.4116	1.0489000000000002	0.0	0.6879	0.0	0.0	29.7101	1.5036	0.0	7.8162	8.497499999999999	4.8091	0.0	0.0	1.517	0.7473	0.0	3.1127	0.0	0.0	16.770500000000002	0.0
SRR24888310	1.4231	0.0	22.807	0.0	0.0	0.2614	1.6936	0.4213	0.6815	0.5183	0.0	0.0	27.05530000000001	1.9055	0.5271	5.460399999999999	19.4164	9.8587	0.0	0.0	1.3501	0.0	0.0	1.3105	0.0	0.0	5.3097	0.0
SRR24888329	0.849	0.0	22.1307	0.0	0.0	0.0	1.6391	0.8978	0.4378	0.4051	0.0	0.0	35.9385	0.0	0.5627	4.0139000000000005	10.0159	12.3266	0.0	0.0	1.029	0.0	0.0	0.9032	0.0	0.0	8.8507	0.0
SRR24888330	0.0	0.0	24.641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2299	0.0	0.0	12.0576	13.5866	10.4848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24888352	1.4806	0.1815	20.2098	0.0	0.7632	0.1099	0.5241	0.86	0.1117	1.2485	0.0	0.0	26.658	0.0	0.0	7.6404	14.5892	3.2816	0.4958	0.0	0.0	0.0	1.316	2.2665	0.4392	0.0	17.528	0.2962
SRR24888482	0.9049	0.0	15.592000000000002	0.0	0.0	0.322	0.8457	0.4024	0.0	0.2416	0.0	0.0	37.81880000000001	1.7461	0.0	8.7812	9.6385	3.364	0.5064	0.0	1.6913	0.0	1.1538	1.0098	0.5023	0.0	15.2051	0.2741
SRR24888489	0.8363	0.0	21.2319	0.0	0.0	0.2674	0.8181	0.271	0.0725	0.3488	0.0	0.0	29.965000000000003	1.609	0.0	6.546399999999999	17.970399999999998	3.5332999999999997	0.0	0.0	2.1635	0.0	0.6542	1.1416	0.0	0.0	12.296300000000002	0.2741
SRR24888613	0.0	0.0	31.6632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.976	0.0	0.0	20.751	4.3527	4.2571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR24888615	0.607	0.0	21.886300000000002	0.0	0.0	0.1459	0.0	0.4279	0.0943	0.3845	0.0	0.0	40.3447	0.0	0.0	7.273	6.8767	4.0226999999999995	0.0	0.0	1.643	0.0	1.1794	1.0814	0.6001	0.0	12.9716	0.4613
SRR24888635	1.692	0.0	15.6219	0.0	0.0	0.0	1.5342	0.6839	0.4034	0.7721	0.0	0.0	42.6364	0.0	0.0	4.033799999999999	12.9351	5.6498	0.0	1.9267	0.0	0.0	0.0	1.7218	0.0	0.0	10.389	0.0
SRR24888648	2.2332	2.6299	21.6553	0.0	0.7382	0.0	1.2668	0.5814	0.4019	0.8265	0.0	0.0	38.86070000000001	0.0	0.0	2.9372000000000003	10.4881	5.6102	0.0	1.1412	0.0	0.4346	0.0	2.4192	0.0	0.0	7.7754	0.0
