genus	pre	drought	log2FC	p	cliffs_delta	q_BH
Rhodopseudomonas	0.16402	0.14225	-0.20408	2e-05	-0.81481	0.00784
Tessaracoccus	0.01694	0.02038	0.2528	5e-05	0.7672	0.00784
Actinocorallia	0.01467	0.01806	0.28293	7e-05	0.75132	0.00784
Euzebya	0.01876	0.02405	0.34213	8e-05	0.74603	0.00784
Undibacter	0.12737	0.09138	-0.47463	8e-05	-0.74074	0.00784
Afipia	0.1853	0.1589	-0.22043	8e-05	-0.74074	0.00784
Allobosea	0.28137	0.25438	-0.14499	8e-05	-0.74074	0.00784
Yinghuangia	0.01582	0.02016	0.33107	8e-05	0.74074	0.00784
Delftia	0.01612	0.0122	-0.37481	8e-05	-0.74074	0.00784
Arthrobacter	0.11393	0.13313	0.22293	0.0001	0.73545	0.00784
Pseudolabrys	1.56476	1.09567	-0.51373	0.0001	-0.73545	0.00784
Rhodoplanes	0.29587	0.26136	-0.17831	0.0001	-0.73545	0.00784
Ornithinimicrobium	0.02071	0.02591	0.31001	0.00011	0.73016	0.00784
Frankia	0.06404	0.07746	0.27067	0.00011	0.73016	0.00784
Iamia	0.10325	0.14356	0.47167	0.00011	0.73016	0.00784
Haloechinothrix	0.00813	0.01003	0.27232	0.00013	0.71958	0.00784
Ancylobacter	0.14223	0.12569	-0.17702	0.00013	-0.71958	0.00784
Georgenia	0.02282	0.02855	0.31065	0.00013	0.71958	0.00784
Corynebacterium	0.0441	0.05211	0.23565	0.00015	0.71429	0.00784
Variibacter	0.07991	0.0688	-0.21316	0.00015	-0.71429	0.00784
Knoellia	0.01334	0.01803	0.40878	0.00015	0.71429	0.00784
Actinomarinicola	0.04651	0.06377	0.44728	0.00015	0.71429	0.00784
Kaustia	0.01826	0.01587	-0.1915	0.00015	-0.71429	0.00784
Parafrankia	0.01598	0.01889	0.22848	0.00017	0.70899	0.00841
Xanthobacter	0.07781	0.07068	-0.13676	0.00019	-0.7037	0.00868
Nocardioides	0.43574	0.83609	0.93859	0.00019	0.7037	0.00868
Saccharomonospora	0.01546	0.0188	0.26707	0.00021	0.69841	0.00901
Humibacillus	0.00851	0.01253	0.50832	0.00021	0.69841	0.00901
Nitriliruptor	0.02146	0.02574	0.25187	0.00024	0.69312	0.00972
Desertimonas	0.13739	0.18678	0.44029	0.00026	0.68783	0.01049
Cryptosporangium	0.01536	0.01878	0.27455	0.00029	0.68254	0.01132
Acidiferrimicrobium	0.02581	0.03319	0.35099	0.00033	0.67725	0.01151
Tardiphaga	0.06918	0.06162	-0.1646	0.00033	-0.67725	0.01151
Ilumatobacter	0.38866	0.47431	0.28667	0.00033	0.67725	0.01151
Streptomyces	0.88662	1.19818	0.43404	0.00037	0.67196	0.01211
Pseudofrankia	0.02623	0.03226	0.28831	0.00037	0.67196	0.01211
Brevibacterium	0.01746	0.02139	0.27859	0.00041	0.66667	0.01276
Aeromicrobium	0.03483	0.04457	0.34697	0.00041	0.66667	0.01276
Bradyrhizobium	3.72235	3.26137	-0.19068	0.00045	-0.66138	0.01349
Actinomyces	0.04446	0.05462	0.29099	0.00045	0.66138	0.01349
Actinopolymorpha	0.01803	0.02227	0.29046	0.0005	0.65608	0.01427
Kitasatospora	0.03946	0.04668	0.23673	0.0005	0.65608	0.01427
Actinomycetospora	0.03174	0.03906	0.29095	0.00056	0.65079	0.0144
Fusarium	0.00747	0.01133	0.5416	0.00056	0.65079	0.0144
Rhodoblastus	0.069	0.06499	-0.08518	0.00056	-0.65079	0.0144
Terrabacter	0.01375	0.02251	0.6722	0.00056	0.65079	0.0144
Nocardia	0.1736	0.21152	0.28355	0.00062	0.6455	0.0144
Comamonas	0.09935	0.07654	-0.37197	0.00062	-0.6455	0.0144
Achromobacter	0.10986	0.10247	-0.09954	0.00062	-0.6455	0.0144
Rhabdothermincola	0.08989	0.12015	0.41465	0.00069	0.64021	0.0144
Blastochloris	0.04209	0.03795	-0.14555	0.00069	-0.64021	0.0144
Enterovirga	0.05485	0.05074	-0.11021	0.00069	-0.64021	0.0144
Acidimicrobium	0.02508	0.03081	0.28625	0.00076	0.63492	0.0144
Prauserella	0.01762	0.02038	0.19947	0.00076	0.63492	0.0144
Kribbella	0.1009	0.12722	0.33146	0.00076	0.63492	0.0144
Aquihabitans	0.03732	0.04972	0.40444	0.00076	0.63492	0.0144
Sphingopyxis	0.10329	0.09255	-0.15681	0.00076	-0.63492	0.0144
Chelatococcus	0.11281	0.10561	-0.09427	0.00076	-0.63492	0.0144
Cellvibrio	0.07023	0.04773	-0.54753	0.00076	-0.63492	0.0144
Variovorax	0.91889	0.78666	-0.22389	0.00076	-0.63492	0.0144
Isoptericola	0.00829	0.0107	0.33294	0.00076	0.63492	0.0144
Promicromonospora	0.00975	0.01224	0.29997	0.00076	0.63492	0.0144
Intrasporangium	0.03295	0.04464	0.42681	0.00076	0.63492	0.0144
Povalibacter	0.4959	0.42781	-0.21261	0.00084	-0.62963	0.01522
Nostocoides	0.01472	0.01905	0.35114	0.00084	0.62963	0.01522
Pseudoduganella	0.08205	0.07499	-0.12833	0.00084	-0.62963	0.01522
Actinomadura	0.15898	0.1864	0.22819	0.00093	0.62434	0.01565
Azorhizobium	0.0329	0.0297	-0.14299	0.00093	-0.62434	0.01565
Svornostia	0.00953	0.01288	0.39829	0.00093	0.62434	0.01565
Duganella	0.08336	0.074	-0.16969	0.00093	-0.62434	0.01565
Patulibacter	0.02074	0.02615	0.32078	0.00093	0.62434	0.01565
Sandaracinobacteroides	0.01261	0.01054	-0.23807	0.00103	-0.61905	0.01638
Phycicoccus	0.02417	0.03125	0.3579	0.00103	0.61905	0.01638
Mumia	0.01199	0.01613	0.39945	0.00103	0.61905	0.01638
Thermomonospora	0.01452	0.01781	0.2779	0.00103	0.61905	0.01638
Blastococcus	0.04695	0.05623	0.25516	0.00114	0.61376	0.01718
Acidovorax	0.11674	0.09861	-0.2412	0.00114	-0.61376	0.01718
Pseudorhodoplanes	0.67387	0.54547	-0.30448	0.00114	-0.61376	0.01718
Modestobacter	0.02061	0.02443	0.23487	0.00114	0.61376	0.01718
Nitrospira	3.51865	2.99032	-0.23465	0.00126	-0.60847	0.01783
Pseudarthrobacter	0.01221	0.01466	0.24523	0.00126	0.60847	0.01783
Aciditerrimonas	0.01129	0.01481	0.36337	0.00126	0.60847	0.01783
Tsukamurella	0.00784	0.01016	0.33652	0.00126	0.60847	0.01783
Kineococcus	0.00913	0.01091	0.23341	0.00126	0.60847	0.01783
Microtetraspora	0.01086	0.01325	0.26549	0.00139	0.60317	0.01836
Jiangella	0.03878	0.0491	0.33271	0.00139	0.60317	0.01836
Allorhizocola	0.00879	0.01413	0.62876	0.00139	0.60317	0.01836
Frigoriglobus	0.1322	0.1572	0.24807	0.00139	0.60317	0.01836
Sporichthya	0.01778	0.03502	0.93969	0.00139	0.60317	0.01836
Conexibacter	0.06092	0.0778	0.34773	0.00139	0.60317	0.01836
Ramlibacter	0.79901	0.66858	-0.25676	0.00153	-0.59788	0.02001
Geodermatophilus	0.05386	0.06454	0.25667	0.00168	0.59259	0.0218
Nonomuraea	0.13253	0.15495	0.22394	0.00185	0.5873	0.02349
Brachybacterium	0.01305	0.01549	0.23147	0.00185	0.5873	0.02349
Capillimicrobium	0.02172	0.02881	0.39194	0.00204	0.58201	0.02428
Candidatus Neomicrothrix	0.02988	0.0374	0.31433	0.00204	0.58201	0.02428
Trebonia	0.02209	0.02606	0.22904	0.00204	0.58201	0.02428
Pseudomonas	1.28779	1.01462	-0.34365	0.00204	-0.58201	0.02428
Cryobacterium	0.02151	0.02525	0.22174	0.00204	0.58201	0.02428
Nitrobacter	0.06949	0.06107	-0.18358	0.00204	-0.58201	0.02428
Microlunatus	0.02687	0.03225	0.25486	0.00224	0.57672	0.02565
Roseiarcus	0.01927	0.0174	-0.13928	0.00224	-0.57672	0.02565
Gemmata	0.37262	0.43285	0.2156	0.00224	0.57672	0.02565
Phreatobacter	0.09107	0.08536	-0.09229	0.00224	-0.57672	0.02565
Phytoactinopolyspora	0.01749	0.02129	0.26987	0.00246	0.57143	0.02764
Paraconexibacter	0.00782	0.01078	0.41769	0.00246	0.57143	0.02764
Pseudonocardia	0.19643	0.22779	0.21263	0.0027	0.56614	0.02896
Pseudoxanthomonas	0.17765	0.16622	-0.09544	0.0027	-0.56614	0.02896
Actinospica	0.00888	0.01112	0.2946	0.0027	0.56614	0.02896
Actinotalea	0.01933	0.02278	0.22643	0.0027	0.56614	0.02896
Rhodococcus	0.11329	0.14943	0.39644	0.0027	0.56614	0.02896
Asticcacaulis	0.05845	0.05427	-0.1052	0.00296	-0.56085	0.03013
Nocardiopsis	0.04651	0.05278	0.17897	0.00296	0.56085	0.03013
Ferrimicrobium	0.01013	0.01197	0.22051	0.00296	0.56085	0.03013
Rhabdaerophilum	0.01812	0.0165	-0.1279	0.00296	-0.56085	0.03013
Saccharopolyspora	0.04959	0.05623	0.1779	0.00296	0.56085	0.03013
Amycolatopsis	0.15482	0.17745	0.19566	0.00296	0.56085	0.03013
Cellulomonas	0.08463	0.09613	0.18182	0.00324	0.55556	0.03166
Methylopila	0.02813	0.02623	-0.09702	0.00324	-0.55556	0.03166
Actinacidiphila	0.01547	0.01866	0.25612	0.00324	0.55556	0.03166
Stenotrophomonas	0.10183	0.09573	-0.08817	0.00324	-0.55556	0.03166
Rivibacter	0.04274	0.03438	-0.30597	0.00324	-0.55556	0.03166
Baekduia	0.03253	0.04202	0.35946	0.00355	0.55026	0.03383
Aurantibacillus	0.01986	0.01281	-0.59433	0.00355	-0.55026	0.03383
Tuwongella	0.08706	0.1029	0.2387	0.00355	0.55026	0.03383
Phormidesmis	0.01192	0.01359	0.17524	0.00388	0.54497	0.03615
Litorilinea	0.0378	0.04547	0.26011	0.00388	0.54497	0.03615
Panacagrimonas	0.02417	0.02173	-0.14696	0.00388	-0.54497	0.03615
Actinokineospora	0.02473	0.02903	0.22271	0.00424	0.53968	0.03862
Planctellipticum	0.10084	0.1182	0.22701	0.00424	0.53968	0.03862
Pseudacidovorax	0.0204	0.01748	-0.21111	0.00424	-0.53968	0.03862
Pantoea	0.02839	0.02373	-0.24903	0.00464	-0.53439	0.0392
Segnochrobactrum	0.01138	0.00999	-0.17075	0.00464	-0.53439	0.0392
Actinophytocola	0.04749	0.05993	0.32948	0.00464	0.53439	0.0392
Janibacter	0.01194	0.01408	0.22001	0.00464	0.53439	0.0392
Motilibacter	0.00821	0.01004	0.26132	0.00464	0.53439	0.0392
Ferrovibrio	0.10724	0.09834	-0.12379	0.00464	-0.53439	0.0392
Bremerella	0.05557	0.06465	0.21489	0.00464	0.53439	0.0392
Polystyrenella	0.02572	0.03032	0.229	0.00464	0.53439	0.0392
Thioclava	0.01081	0.00951	-0.16823	0.00464	-0.53439	0.0392
Bifidobacterium	0.01385	0.01586	0.18342	0.00464	0.53439	0.0392
Herbidospora	0.01011	0.01187	0.21286	0.00506	0.5291	0.04161
Pseudorhodoferax	0.07556	0.06143	-0.29434	0.00506	-0.5291	0.04161
Streptosporangium	0.03143	0.03655	0.21135	0.00506	0.5291	0.04161
Curvibacter	0.05492	0.04609	-0.24787	0.00506	-0.5291	0.04161
Breoghania	0.02883	0.0265	-0.11694	0.00552	-0.52381	0.04302
Hydrogenophaga	0.23764	0.20432	-0.21698	0.00552	-0.52381	0.04302
Rhizobacter	0.15216	0.12457	-0.28652	0.00552	-0.52381	0.04302
Kineosporia	0.0203	0.02462	0.26628	0.00552	0.52381	0.04302
Bacillus	0.08657	0.09746	0.16922	0.00552	0.52381	0.04302
Leucobacter	0.01509	0.0176	0.20863	0.00552	0.52381	0.04302
Caenimonas	0.08626	0.0694	-0.3096	0.00552	-0.52381	0.04302
Leifsonia	0.01868	0.02098	0.15987	0.00552	0.52381	0.04302
Sinomonas	0.01335	0.01531	0.18436	0.00602	0.51852	0.04484
Casimicrobium	0.02092	0.0183	-0.18397	0.00602	-0.51852	0.04484
Lignipirellula	0.11255	0.13343	0.24353	0.00602	0.51852	0.04484
Polaromonas	0.21727	0.1972	-0.13915	0.00602	-0.51852	0.04484
Shinella	0.04829	0.04206	-0.19505	0.00602	-0.51852	0.04484
Aquabacter	0.03426	0.03166	-0.11029	0.00602	-0.51852	0.04484
Microbispora	0.02342	0.02728	0.21156	0.00602	0.51852	0.04484
Dermatobacter	0.04698	0.06019	0.35082	0.00656	0.51323	0.04736
Acidocella	0.04922	0.04671	-0.07416	0.00656	-0.51323	0.04736
Ottowia	0.08233	0.07251	-0.18085	0.00656	-0.51323	0.04736
Sphingobium	0.19559	0.18344	-0.092	0.00656	-0.51323	0.04736
Nakamurella	0.02707	0.03241	0.25123	0.00656	0.51323	0.04736
Lentzea	0.04045	0.04662	0.20039	0.00714	0.50794	0.04975
Demequina	0.02499	0.03046	0.27548	0.00714	0.50794	0.04975
Diaphorobacter	0.02202	0.01969	-0.15392	0.00714	-0.50794	0.04975
Actinoplanes	0.10443	0.12425	0.24862	0.00714	0.50794	0.04975
Rhizocola	0.01977	0.04194	1.04803	0.00714	0.50794	0.04975
Limnoglobus	0.12844	0.14666	0.19005	0.00714	0.50794	0.04975
Catenuloplanes	0.01127	0.01405	0.29437	0.00776	0.50265	0.05318
Saccharothrix	0.03952	0.04715	0.2489	0.00776	0.50265	0.05318
Thermogemmata	0.04466	0.05238	0.22544	0.00776	0.50265	0.05318
Telmatocola	0.0884	0.10488	0.24408	0.00844	0.49735	0.05556
Crateriforma	0.01886	0.02189	0.2047	0.00844	0.49735	0.05556
Actinoallomurus	0.02093	0.02575	0.2864	0.00844	0.49735	0.05556
Rosistilla	0.03869	0.04533	0.22306	0.00844	0.49735	0.05556
Antrihabitans	0.00974	0.01188	0.2624	0.00844	0.49735	0.05556
Salinarimonas	0.03593	0.03363	-0.09283	0.00844	-0.49735	0.05556
Penicillium	0.00983	0.18126	4.07283	0.00844	0.49735	0.05556
Plantactinospora	0.01909	0.02427	0.33123	0.00916	0.49206	0.0581
Steroidobacter	0.48676	0.43087	-0.17558	0.00916	-0.49206	0.0581
Pollutimonas	0.0213	0.01945	-0.12519	0.00916	-0.49206	0.0581
Methylovirgula	0.03503	0.03284	-0.09066	0.00916	-0.49206	0.0581
Kibdelosporangium	0.0207	0.0242	0.21557	0.00916	0.49206	0.0581
Cognatiluteimonas	0.02085	0.01864	-0.15391	0.00916	-0.49206	0.0581
Curtobacterium	0.00967	0.01094	0.16196	0.00916	0.49206	0.0581
Sphaerisporangium	0.02461	0.02819	0.1889	0.00995	0.48677	0.06239
Mycobacterium	0.74873	1.20783	0.68917	0.00995	0.48677	0.06239
Simplicispira	0.01596	0.01374	-0.20215	0.01079	-0.48148	0.06526
Rhodovulum	0.08924	0.07584	-0.23187	0.01079	-0.48148	0.06526
Williamsia	0.00903	0.01195	0.36816	0.01079	0.48148	0.06526
Stieleria	0.10695	0.12044	0.16993	0.01079	0.48148	0.06526
Caldilinea	0.02837	0.03342	0.22886	0.01079	0.48148	0.06526
Methylocapsa	0.06759	0.06343	-0.09027	0.01079	-0.48148	0.06526
Piscinibacter	0.48178	0.40151	-0.26235	0.01079	-0.48148	0.06526
Microvirga	0.40898	0.3858	-0.08397	0.01169	-0.47619	0.0683
Miltoncostaea	0.05198	0.07439	0.50913	0.01169	0.47619	0.0683
Oxalicibacterium	0.01846	0.01725	-0.09211	0.01169	-0.47619	0.0683
Trinickia	0.05367	0.05073	-0.07958	0.01169	-0.47619	0.0683
Jatrophihabitans	0.01728	0.02036	0.22455	0.01169	0.47619	0.0683
Roseateles	0.45578	0.38249	-0.2523	0.01169	-0.47619	0.0683
Fimbriiglobus	0.16779	0.19727	0.23224	0.01169	0.47619	0.0683
Gaiella	0.37135	0.4976	0.42121	0.01266	0.4709	0.07118
Allorhodopirellula	0.01901	0.02163	0.17752	0.01266	0.4709	0.07118
Ktedonobacter	0.04383	0.0509	0.21139	0.01266	0.4709	0.07118
Glycomyces	0.02087	0.02801	0.4076	0.01266	0.4709	0.07118
Paracidovorax	0.0167	0.01492	-0.15302	0.01266	-0.4709	0.07118
Oxalobacter	0.01846	0.0168	-0.12874	0.01266	-0.4709	0.07118
Mycolicibacterium	0.48316	0.8615	0.83305	0.01266	0.4709	0.07118
Kutzneria	0.01681	0.01912	0.1763	0.01266	0.4709	0.07118
Kumtagia	0.0829	0.06547	-0.33594	0.0137	-0.46561	0.07423
Alsobacter	0.0849	0.07845	-0.11274	0.0137	-0.46561	0.07423
Geminicoccus	0.06618	0.05986	-0.14261	0.0137	-0.46561	0.07423
Paractinoplanes	0.0433	0.05192	0.25651	0.0137	0.46561	0.07423
Roseibium	0.0742	0.06939	-0.09542	0.0137	-0.46561	0.07423
Leptospira	0.10476	0.09933	-0.07609	0.0137	-0.46561	0.07423
Zestomonas	0.01304	0.01074	-0.25828	0.0137	-0.46561	0.07423
Actinospineispora	0.01253	0.01404	0.15297	0.0137	0.46561	0.07423
Xenophilus	0.02126	0.01823	-0.2114	0.01482	-0.46032	0.07746
Collimonas	0.03659	0.0344	-0.08664	0.01482	-0.46032	0.07746
Candidatus Poriferisodalis	0.0313	0.04036	0.35684	0.01482	0.46032	0.07746
Mycolicibacter	0.03515	0.06266	0.81646	0.01482	0.46032	0.07746
Candidatus Entotheonella	0.62959	0.78495	0.31775	0.01482	0.46032	0.07746
Gimesia	0.17448	0.19797	0.18127	0.01482	0.46032	0.07746
Fuerstiella	0.04088	0.04616	0.17133	0.01482	0.46032	0.07746
Enterobacter	0.01648	0.01311	-0.30945	0.01482	-0.46032	0.07746
Limnohabitans	0.0931	0.08236	-0.17495	0.01601	-0.45503	0.08121
Roseimaritima	0.06162	0.06931	0.16708	0.01601	0.45503	0.08121
Actinocatenispora	0.0096	0.01175	0.26616	0.01601	0.45503	0.08121
Gordonia	0.05904	0.07418	0.32442	0.01601	0.45503	0.08121
Fluviicola	0.01433	0.01238	-0.1964	0.01601	-0.45503	0.08121
Acidisoma	0.03064	0.02977	-0.04017	0.01601	-0.45503	0.08121
Acinetobacter	0.06092	0.05296	-0.19838	0.01601	-0.45503	0.08121
Leptothrix	0.0281	0.02308	-0.27332	0.01729	-0.44974	0.08446
Pirellula	0.31015	0.37476	0.27219	0.01729	0.44974	0.08446
Solirubrobacter	0.16172	0.21317	0.39637	0.01729	0.44974	0.08446
Rhizobium	0.52682	0.48326	-0.12425	0.01729	-0.44974	0.08446
Metapseudomonas	0.06363	0.06842	0.10318	0.01729	-0.44974	0.08446
Candidatus Laterigemmans	0.03435	0.03968	0.20245	0.01729	0.44974	0.08446
Brevundimonas	0.16111	0.15431	-0.06183	0.01729	-0.44974	0.08446
Methylacidimicrobium	0.01221	0.01334	0.1183	0.01729	0.44974	0.08446
Acrocarpospora	0.01785	0.02042	0.18453	0.01729	0.44974	0.08446
Nesterenkonia	0.01044	0.01202	0.18659	0.01866	0.44444	0.08755
Nodosilinea	0.01634	0.01826	0.15131	0.01866	0.44444	0.08755
Caldimonas	0.13129	0.11299	-0.21477	0.01866	-0.44444	0.08755
Roseivivax	0.01316	0.01135	-0.19761	0.01866	-0.44444	0.08755
Herminiimonas	0.02099	0.01919	-0.1233	0.01866	-0.44444	0.08755
Hansschlegelia	0.03246	0.03025	-0.09873	0.01866	-0.44444	0.08755
Anatilimnocola	0.62377	0.73991	0.24597	0.01866	0.44444	0.08755
Kocuria	0.01177	0.01313	0.14558	0.01866	0.44444	0.08755
Solimonas	0.09504	0.0904	-0.07141	0.01866	-0.44444	0.08755
Peristeroidobacter	0.14542	0.13089	-0.15078	0.01866	-0.44444	0.08755
Blastopirellula	0.17028	0.19629	0.20395	0.02012	0.43915	0.09083
Caulifigura	0.10494	0.12316	0.22903	0.02012	0.43915	0.09083
Roseiconus	0.03632	0.0409	0.16713	0.02012	0.43915	0.09083
Methyloceanibacter	0.40257	0.5069	0.33172	0.02012	0.43915	0.09083
Massilia	0.27351	0.26205	-0.06154	0.02012	-0.43915	0.09083
Candidatus Rhabdochlamydia	0.01919	0.0306	0.64596	0.02012	0.43915	0.09083
Xanthomonas	0.07936	0.07655	-0.0514	0.02012	-0.43915	0.09083
Propioniciclava	0.00847	0.01011	0.23006	0.02012	0.43915	0.09083
Inhella	0.04425	0.03522	-0.32127	0.02012	-0.43915	0.09083
Pleomorphomonas	0.02346	0.02143	-0.12513	0.02012	-0.43915	0.09083
Eleftheria	0.01543	0.0137	-0.16083	0.02168	-0.43386	0.09294
Aneurinibacillus	0.00946	0.01101	0.20042	0.02168	0.43386	0.09294
Starkeya	0.02296	0.02075	-0.13901	0.02168	-0.43386	0.09294
Acanthopleuribacter	0.00988	0.01083	0.12036	0.02168	0.43386	0.09294
Alcaligenes	0.01131	0.01025	-0.13005	0.02168	-0.43386	0.09294
Methyloversatilis	0.05504	0.05187	-0.0841	0.02168	-0.43386	0.09294
Candidatus Moanibacter	0.01119	0.01262	0.16039	0.02168	0.43386	0.09294
Cupriavidus	0.41192	0.38157	-0.11016	0.02168	-0.43386	0.09294
Chryseobacterium	0.03563	0.03219	-0.14259	0.02168	-0.43386	0.09294
Planctopirus	0.04288	0.04888	0.18475	0.02168	0.43386	0.09294
Solwaraspora	0.0105	0.01371	0.35594	0.02168	0.43386	0.09294
Sphaerotilus	0.09158	0.07676	-0.25173	0.02168	-0.43386	0.09294
Nibricoccus	0.05571	0.04143	-0.41855	0.02168	-0.43386	0.09294
Xylophilus	0.03369	0.03031	-0.14778	0.02168	-0.43386	0.09294
Rubrobacter	0.06557	0.07167	0.12646	0.02334	0.42857	0.09901
Zavarzinella	0.1571	0.1878	0.25597	0.02334	0.42857	0.09901
Parasulfuritortus	0.01062	0.00963	-0.12768	0.02334	-0.42857	0.09901
Verminephrobacter	0.01739	0.01553	-0.15442	0.02511	-0.42328	0.10252
Microcoleus	0.01946	0.02199	0.16838	0.02511	0.42328	0.10252
Micromonospora	0.20848	0.25592	0.29453	0.02511	0.42328	0.10252
Paracoccus	0.16669	0.15242	-0.12831	0.02511	-0.42328	0.10252
Rhodoferax	0.20442	0.18414	-0.15	0.02511	-0.42328	0.10252
Planotetraspora	0.01358	0.01527	0.15857	0.02511	0.42328	0.10252
Stackebrandtia	0.00864	0.01029	0.22808	0.02511	0.42328	0.10252
Gemmobacter	0.01872	0.01598	-0.21555	0.02511	-0.42328	0.10252
Caballeronia	0.14898	0.14267	-0.06202	0.02511	-0.42328	0.10252
Dactylosporangium	0.05101	0.06273	0.29331	0.02511	0.42328	0.10252
Virgisporangium	0.03122	0.03829	0.28614	0.02511	0.42328	0.10252
Streptacidiphilus	0.01629	0.01831	0.15884	0.027	0.41799	0.10658
Okeania	0.01121	0.01193	0.08222	0.027	0.41799	0.10658
Lyngbya	0.00915	0.01016	0.13699	0.027	0.41799	0.10658
Methylobacterium	0.33571	0.32338	-0.05383	0.027	-0.41799	0.10658
Aeoliella	0.08745	0.09967	0.18662	0.027	0.41799	0.10658
Oleiharenicola	0.08648	0.06494	-0.40782	0.027	-0.41799	0.10658
Mycobacteroides	0.02457	0.03708	0.57448	0.027	0.41799	0.10658
