genus	pre	drought	log2FC	p	cliffs_delta	q_BH
Derxia	0.02456	0.02441	-0.00847	0.45533	-0.14286	0.60508
Phyllobacterium	0.09733	0.0926	-0.07116	0.45533	-0.14286	0.60508
Acidihalobacter	0.02686	0.02606	-0.04195	0.45533	-0.14286	0.60508
Marimicrobium	0.01908	0.01725	-0.13803	0.45533	-0.14286	0.60508
Terrimonas	0.05598	0.0524	-0.09382	0.45533	-0.14286	0.60508
Paludibaculum	0.36476	0.35568	-0.03628	0.47252	-0.13757	0.62169
Falsiroseomonas	0.091	0.08272	-0.13616	0.47252	-0.13757	0.62169
Roseiterribacter	0.01191	0.01148	-0.04948	0.47252	-0.13757	0.62169
Aquisalimonas	0.03296	0.03235	-0.02597	0.47252	-0.13757	0.62169
Chelativorans	0.12275	0.11777	-0.05925	0.47252	-0.13757	0.62169
Edaphobacter	0.20017	0.20706	0.04862	0.47252	0.13757	0.62169
Marinimicrobium	0.01655	0.01598	-0.04731	0.47252	-0.13757	0.62169
Christiangramia	0.00976	0.01006	0.03959	0.47252	0.13757	0.62169
Candidatus Protochlamydia	0.00973	0.01023	0.06502	0.47252	0.13757	0.62169
Devosia	0.21437	0.20581	-0.05854	0.49006	-0.13228	0.63772
Nitrosococcus	0.03751	0.03848	0.03599	0.49006	0.13228	0.63772
Clostridium	0.079	0.0803	0.02338	0.49006	0.13228	0.63772
Tahibacter	0.0834	0.08308	-0.00545	0.49006	-0.13228	0.63772
Amorphus	0.01893	0.01842	-0.03726	0.49006	-0.13228	0.63772
Desulfomonile	0.01173	0.01225	0.05827	0.49006	0.13228	0.63772
Staphylococcus	0.01254	0.01278	0.02597	0.49006	0.13228	0.63772
Teredinibacter	0.01675	0.01662	-0.01081	0.49006	-0.13228	0.63772
Sulfurirhabdus	0.01729	0.01708	-0.01671	0.49006	-0.13228	0.63772
Idiomarina	0.01022	0.00987	-0.04549	0.49006	-0.13228	0.63772
Novilysobacter	0.01538	0.01529	-0.00769	0.50795	-0.12698	0.65386
Neoroseomonas	0.13178	0.10444	-0.33264	0.50795	-0.12698	0.65386
Aquibium	0.05529	0.05209	-0.0843	0.50795	-0.12698	0.65386
Chlorogloeopsis	0.00981	0.01013	0.042	0.50795	0.12698	0.65386
Termitidicoccus	0.02076	0.02056	-0.01309	0.50795	-0.12698	0.65386
Arenibaculum	0.02413	0.02407	-0.00321	0.50795	-0.12698	0.65386
Desulfurivibrio	0.01121	0.01178	0.06486	0.50795	0.12698	0.65386
Martelella	0.02257	0.02221	-0.02183	0.50795	-0.12698	0.65386
Chthoniobacter	0.16333	0.17022	0.05926	0.50795	0.12698	0.65386
Cognatazoarcus	0.01905	0.01888	-0.01262	0.50795	-0.12698	0.65386
Allopusillimonas	0.01103	0.01108	0.00545	0.52617	-0.12169	0.66865
Pararhodospirillum	0.01962	0.01983	0.01512	0.52617	0.12169	0.66865
Sandaracinus	0.17714	0.16997	-0.05926	0.52617	-0.12169	0.66865
Daejeonella	0.01925	0.01893	-0.02252	0.52617	-0.12169	0.66865
Chamaesiphon	0.01333	0.01378	0.04477	0.52617	0.12169	0.66865
Candidatus Roseilinea	0.04188	0.04432	0.07993	0.52617	0.12169	0.66865
Thioalkalivibrio	0.13845	0.13681	-0.01708	0.52617	-0.12169	0.66865
Candidatus Competibacter	0.02414	0.02373	-0.02354	0.52617	-0.12169	0.66865
Microbulbifer	0.10083	0.10046	-0.00525	0.52617	-0.12169	0.66865
Aestuariispira	0.01108	0.01106	-0.00225	0.52617	-0.12169	0.66865
Agriterribacter	0.02576	0.0247	-0.05809	0.52617	-0.12169	0.66865
Marinoscillum	0.01089	0.01049	-0.04961	0.52617	-0.12169	0.66865
Bacteriovorax	0.01138	0.0108	-0.06987	0.54472	-0.1164	0.68348
Nitrincola	0.01071	0.01051	-0.02446	0.54472	-0.1164	0.68348
Trichlorobacter	0.01971	0.02042	0.04895	0.54472	0.1164	0.68348
Polaribacter	0.01025	0.01012	-0.01731	0.54472	-0.1164	0.68348
Sulfurisoma	0.0195	0.01874	-0.05451	0.54472	-0.1164	0.68348
Ereboglobus	0.01431	0.01451	0.01924	0.54472	0.1164	0.68348
Afifella	0.03662	0.03781	0.04506	0.54472	0.1164	0.68348
Halothiobacillus	0.0131	0.01293	-0.01748	0.54472	-0.1164	0.68348
Fimbriimonas	0.01434	0.01471	0.03368	0.54472	0.1164	0.68348
Oscillatoria	0.01559	0.01611	0.04459	0.54472	0.1164	0.68348
Desulfatitalea	0.02191	0.02251	0.03674	0.54472	0.1164	0.68348
Myxococcus	0.15293	0.15223	-0.00657	0.54472	-0.1164	0.68348
Paramesorhizobium	0.01552	0.01504	-0.04178	0.56359	-0.11111	0.69616
Parazoarcus	0.01272	0.01203	-0.07435	0.56359	-0.11111	0.69616
Pelomicrobium	0.01473	0.01477	0.00417	0.56359	-0.11111	0.69616
Minicystis	0.16421	0.16666	0.02121	0.56359	0.11111	0.69616
Desulfomicrobium	0.01116	0.0114	0.02828	0.56359	0.11111	0.69616
Allomicrovenator	0.01265	0.01264	-0.00117	0.56359	0.11111	0.69616
Xenorhabdus	0.01115	0.0103	-0.10514	0.56359	-0.11111	0.69616
Longispora	0.02018	0.0219	0.11281	0.56359	0.11111	0.69616
Methylophaga	0.03418	0.03459	0.01656	0.56359	-0.11111	0.69616
Methyloterricola	0.0156	0.01638	0.06624	0.56359	0.11111	0.69616
Syntrophorhabdus	0.03426	0.03514	0.03565	0.56359	0.11111	0.69616
Aliiroseovarius	0.01068	0.01017	-0.06444	0.56359	-0.11111	0.69616
Aliidiomarina	0.01086	0.01062	-0.02933	0.56359	-0.11111	0.69616
Fibrella	0.01211	0.01133	-0.08888	0.56359	-0.11111	0.69616
Hyphomicrobium	0.37716	0.37102	-0.02362	0.56359	-0.11111	0.69616
Dankookia	0.01209	0.01255	0.04981	0.58277	0.10582	0.71174
Candidatus Nitrotoga	0.04612	0.04598	-0.0044	0.58277	-0.10582	0.71174
Oryzicola	0.01134	0.01066	-0.0816	0.58277	-0.10582	0.71174
Arvimicrobium	0.03258	0.02983	-0.123	0.58277	-0.10582	0.71174
Bartonella	0.01632	0.01587	-0.03805	0.58277	-0.10582	0.71174
Arenibacter	0.01514	0.01528	0.01203	0.58277	0.10582	0.71174
Agrilutibacter	0.03549	0.0342	-0.05189	0.58277	-0.10582	0.71174
Pseudohongiella	0.03627	0.0371	0.03151	0.58277	0.10582	0.71174
Pseudothauera	0.03164	0.0311	-0.02409	0.58277	-0.10582	0.71174
Sabulicella	0.01232	0.01265	0.0348	0.58277	0.10582	0.71174
Futiania	0.00983	0.01037	0.06968	0.58277	0.10582	0.71174
Allochromatium	0.01493	0.01513	0.01821	0.60224	-0.10053	0.72659
Palleronia	0.01519	0.01463	-0.05076	0.60224	-0.10053	0.72659
Thiohalophilus	0.01301	0.01287	-0.01458	0.60224	-0.10053	0.72659
Bauldia	0.1909	0.19572	0.03576	0.60224	0.10053	0.72659
Thermithiobacillus	0.01215	0.01188	-0.03085	0.60224	-0.10053	0.72659
Planktothrix	0.01052	0.01084	0.0398	0.60224	0.10053	0.72659
Symbiodinium	0.10678	0.1071	0.00421	0.60224	0.10053	0.72659
Kineobactrum	0.01353	0.0135	-0.00268	0.60224	-0.10053	0.72659
Maricaulis	0.02783	0.02781	-0.00111	0.60224	-0.10053	0.72659
Halochromatium	0.00997	0.0103	0.04237	0.60224	0.10053	0.72659
Pedosphaera	0.44966	0.47084	0.06624	0.60224	0.10053	0.72659
Azoarcus	0.10545	0.1016	-0.05318	0.60224	-0.10053	0.72659
Candidatus Kapaibacterium	0.01422	0.01408	-0.01294	0.62201	-0.09524	0.74441
Sediminicurvatus	0.01263	0.01289	0.02795	0.62201	0.09524	0.74441
Halomonas	0.10258	0.10284	0.00355	0.62201	-0.09524	0.74441
Methylomagnum	0.01786	0.01788	0.00192	0.62201	-0.09524	0.74441
Syntrophus	0.03426	0.03515	0.03599	0.62201	0.09524	0.74441
Sulfurimicrobium	0.01445	0.01399	-0.04365	0.62201	-0.09524	0.74441
Aspergillus	0.01	0.0101	0.01334	0.62201	0.09524	0.74441
Emcibacter	0.01168	0.01169	0.00173	0.62201	-0.09524	0.74441
Rufibacter	0.02371	0.02433	0.03612	0.64205	0.08995	0.76
Mucilaginibacter	0.13232	0.12993	-0.02605	0.64205	-0.08995	0.76
Salinisphaera	0.02939	0.02915	-0.01142	0.64205	-0.08995	0.76
Rhodomicrobium	0.04767	0.04746	-0.00641	0.64205	-0.08995	0.76
Gallaecimonas	0.01001	0.00978	-0.03002	0.64205	-0.08995	0.76
Pseudolysobacter	0.01367	0.01356	-0.01074	0.64205	-0.08995	0.76
Pseudobacter	0.01077	0.01059	-0.02251	0.64205	-0.08995	0.76
Enhydrobacter	0.23782	0.24461	0.04046	0.64205	0.08995	0.76
Candidatus Solibacter	0.01336	0.01402	0.0649	0.64205	0.08995	0.76
Candidatus Nitricoxidivorans	0.01392	0.01361	-0.03066	0.64205	-0.08995	0.76
Vreelandella	0.01428	0.01403	-0.0242	0.64205	-0.08995	0.76
Helicobacter	0.01365	0.01387	0.02125	0.66236	0.08466	0.77557
Marinomonas	0.02447	0.02436	-0.0064	0.66236	-0.08466	0.77557
Algoriphagus	0.08038	0.08223	0.03245	0.66236	-0.08466	0.77557
Zavarzinia	0.02171	0.02144	-0.01775	0.66236	-0.08466	0.77557
Humisphaera	0.12156	0.11991	-0.01962	0.66236	-0.08466	0.77557
Sulfurifustis	0.04624	0.04544	-0.02466	0.66236	-0.08466	0.77557
Georgfuchsia	0.01949	0.021	0.10272	0.66236	0.08466	0.77557
Parapedobacter	0.02665	0.02693	0.01483	0.66236	0.08466	0.77557
Paralcaligenes	0.01013	0.01001	-0.01621	0.66236	-0.08466	0.77557
Aromatoleum	0.14583	0.14377	-0.02038	0.66236	-0.08466	0.77557
Parasphingopyxis	0.02029	0.02026	-0.00226	0.66236	-0.08466	0.77557
Vulgatibacter	0.02385	0.02338	-0.02719	0.68291	-0.07937	0.7865
Zoogloea	0.10302	0.10297	-0.00074	0.68291	-0.07937	0.7865
Thiodictyon	0.04138	0.04125	-0.0044	0.68291	-0.07937	0.7865
Thiomicrorhabdus	0.01118	0.01114	-0.00546	0.68291	-0.07937	0.7865
Foetidibacter	0.01269	0.01206	-0.06795	0.68291	-0.07937	0.7865
Sulfuricella	0.02819	0.02794	-0.01248	0.68291	-0.07937	0.7865
Runella	0.02763	0.02742	-0.01078	0.68291	-0.07937	0.7865
Candidatus Angelobacter	0.04457	0.04615	0.04907	0.68291	0.07937	0.7865
Mangrovimicrobium	0.0128	0.01266	-0.0146	0.68291	-0.07937	0.7865
Methylomarinovum	0.01028	0.01037	0.01216	0.68291	0.07937	0.7865
Melittangium	0.02472	0.02465	-0.00362	0.68291	-0.07937	0.7865
Spirulina	0.01438	0.01464	0.02357	0.68291	0.07937	0.7865
Horticoccus	0.03505	0.03593	0.03496	0.68291	0.07937	0.7865
Hymenobacter	0.15515	0.1556	0.0041	0.68291	0.07937	0.7865
Longitalea	0.01431	0.01414	-0.01565	0.68291	-0.07937	0.7865
Limisphaera	0.08776	0.09224	0.07115	0.68291	0.07937	0.7865
Vitreimonas	0.08736	0.09006	0.04352	0.68291	0.07937	0.7865
Paracraurococcus	0.02361	0.02374	0.00716	0.70371	-0.07407	0.80656
Neomesorhizobium	0.05255	0.05052	-0.05556	0.70371	-0.07407	0.80656
Paraglaciecola	0.02328	0.02297	-0.01855	0.70371	-0.07407	0.80656
Zwartia	0.02101	0.02116	0.0096	0.70371	-0.07407	0.80656
Polyangium	0.34237	0.34427	0.00799	0.70371	0.07407	0.80656
Flavisolibacter	0.04694	0.04536	-0.04839	0.72473	-0.06878	0.82588
Candidatus Tenderia	0.01011	0.01069	0.0732	0.72473	0.06878	0.82588
Methylococcus	0.0713	0.07123	-0.00144	0.72473	-0.06878	0.82588
Candidatus Macondimonas	0.01004	0.0106	0.07098	0.72473	0.06878	0.82588
Geotalea	0.03223	0.03339	0.04981	0.72473	0.06878	0.82588
Ferrimonas	0.01549	0.01529	-0.01724	0.72473	-0.06878	0.82588
Methylovulum	0.01139	0.01169	0.03469	0.74596	-0.06349	0.84203
Rhizorhabdus	0.01578	0.01609	0.02647	0.74596	-0.06349	0.84203
Hyalangium	0.13529	0.13401	-0.01365	0.74596	-0.06349	0.84203
Sulfuricystis	0.02277	0.02271	-0.00375	0.74596	-0.06349	0.84203
Geothrix	0.091	0.0933	0.03547	0.74596	0.06349	0.84203
Aurantimonas	0.04069	0.04052	-0.00576	0.74596	-0.06349	0.84203
Nitrogeniibacter	0.02266	0.02289	0.01395	0.74596	-0.06349	0.84203
Marinicauda	0.01104	0.01118	0.01744	0.74596	-0.06349	0.84203
Siphonobacter	0.01163	0.01124	-0.04571	0.74596	-0.06349	0.84203
Aquimarina	0.01822	0.01811	-0.00844	0.74596	-0.06349	0.84203
Ectothiorhodospira	0.02427	0.02491	0.03606	0.76738	0.0582	0.85648
Seongchinamella	0.0146	0.01379	-0.07729	0.76738	-0.0582	0.85648
Hyphococcus	0.02695	0.0273	0.01809	0.76738	0.0582	0.85648
Lamprocystis	0.01756	0.01775	0.01452	0.76738	-0.0582	0.85648
Halioglobus	0.06292	0.05517	-0.18643	0.76738	-0.0582	0.85648
Luteitalea	2.83579	2.86303	0.01378	0.76738	-0.0582	0.85648
Aliikangiella	0.01064	0.01102	0.04694	0.76738	0.0582	0.85648
Acidithiobacillus	0.04056	0.04082	0.00921	0.76738	-0.0582	0.85648
Candidatus Viridilinea	0.01813	0.01806	-0.00484	0.76738	0.0582	0.85648
Thiobacillus	0.10948	0.11241	0.03768	0.76738	0.0582	0.85648
Parahaliea	0.03115	0.03002	-0.05197	0.76738	-0.0582	0.85648
Plasticicumulans	0.0503	0.05	-0.00856	0.76738	-0.0582	0.85648
Ornatilinea	0.00981	0.01027	0.05959	0.78898	0.05291	0.86759
Parabacteroides	0.01259	0.01274	0.0159	0.78898	0.05291	0.86759
Belnapia	0.02918	0.02924	0.00279	0.78898	-0.05291	0.86759
Fulvimarina	0.01098	0.01088	-0.01135	0.78898	-0.05291	0.86759
Rhodocytophaga	0.02969	0.02919	-0.02361	0.78898	-0.05291	0.86759
Pseudohalioglobus	0.01493	0.0144	-0.04903	0.78898	-0.05291	0.86759
Salinicola	0.01491	0.01522	0.02765	0.78898	0.05291	0.86759
Polluticoccus	0.01737	0.01829	0.07101	0.78898	0.05291	0.86759
Acetobacter	0.0335	0.0335	-9e-05	0.78898	-0.05291	0.86759
Pelagibius	0.07625	0.07581	-0.00815	0.78898	-0.05291	0.86759
Salipiger	0.0157	0.01575	0.00478	0.78898	0.05291	0.86759
Lacibacter	0.0492	0.04588	-0.0987	0.78898	-0.05291	0.86759
Leptolinea	0.01423	0.01513	0.08328	0.78898	0.05291	0.86759
Legionella	0.09359	0.09438	0.01207	0.78898	0.05291	0.86759
Alistipes	0.01664	0.01676	0.00934	0.78898	0.05291	0.86759
Prevotella	0.01227	0.01237	0.01028	0.78898	0.05291	0.86759
Kangiella	0.01424	0.01424	0.00026	0.81075	-0.04762	0.87856
Geothermobacter	0.01477	0.01481	0.00359	0.81075	0.04762	0.87856
Adhaeribacter	0.07498	0.0764	0.02669	0.81075	0.04762	0.87856
Haloferula	0.05774	0.05727	-0.01171	0.81075	-0.04762	0.87856
Vibrio	0.09508	0.09609	0.01517	0.81075	0.04762	0.87856
Phycisphaera	0.03861	0.03909	0.01746	0.81075	0.04762	0.87856
Vitiosangium	0.02445	0.02427	-0.0104	0.81075	-0.04762	0.87856
Saltatorellus	0.04064	0.04106	0.01443	0.81075	-0.04762	0.87856
Dinghuibacter	0.01025	0.01024	-0.00181	0.81075	-0.04762	0.87856
Chiayiivirga	0.02396	0.0241	0.00791	0.81075	0.04762	0.87856
Draconibacterium	0.01124	0.01143	0.02187	0.81075	-0.04762	0.87856
Thiohalocapsa	0.05486	0.05451	-0.00898	0.81075	-0.04762	0.87856
Roseimicrobium	0.09692	0.0962	-0.01067	0.81075	0.04762	0.87856
Caldovatus	0.03214	0.033	0.03684	0.81075	0.04762	0.87856
Cystobacter	0.0433	0.04387	0.0186	0.81075	0.04762	0.87856
Rhodospirillum	0.01828	0.01803	-0.01945	0.81075	0.04762	0.87856
Thiocapsa	0.04798	0.04866	0.0201	0.83266	0.04233	0.89741
Nannocystis	0.16895	0.16934	0.00329	0.83266	-0.04233	0.89741
Actibacterium	0.01084	0.01079	-0.00651	0.83266	-0.04233	0.89741
Alkalilimnicola	0.02277	0.02279	0.00138	0.83266	0.04233	0.89741
Candidatus Methylumidiphilus	0.01268	0.01283	0.0159	0.83266	0.04233	0.89741
Salinibacter	0.01599	0.01588	-0.01006	0.83266	-0.04233	0.89741
Desulfonatronum	0.0119	0.0125	0.06611	0.85471	0.03704	0.90884
Nitrosospira	0.1261	0.12555	-0.00622	0.85471	-0.03704	0.90884
Parvularcula	0.0242	0.02445	0.01403	0.85471	0.03704	0.90884
Methylomicrobium	0.02594	0.02609	0.00809	0.85471	-0.03704	0.90884
Hyphobacterium	0.01565	0.01589	0.02007	0.85471	-0.03704	0.90884
Methylotetracoccus	0.01045	0.01046	0.00086	0.85471	0.03704	0.90884
Immundisolibacter	0.02894	0.02942	0.02321	0.85471	0.03704	0.90884
Acidisarcina	0.01941	0.01926	-0.01075	0.85471	0.03704	0.90884
Pyxidicoccus	0.10204	0.10225	0.00292	0.85471	-0.03704	0.90884
Alteromonas	0.03432	0.0348	0.01952	0.85471	0.03704	0.90884
Truepera	0.01121	0.01122	0.0015	0.85471	0.03704	0.90884
Prosthecochloris	0.0101	0.01025	0.01918	0.85471	0.03704	0.90884
Thauera	0.21241	0.20856	-0.02631	0.85471	-0.03704	0.90884
Mesoterricola	0.01734	0.01774	0.03078	0.85471	0.03704	0.90884
Thiorhodococcus	0.01538	0.01514	-0.02075	0.85471	0.03704	0.90884
Engelhardtia	0.05212	0.05257	0.01202	0.87686	-0.03175	0.92334
Thalassotalea	0.02296	0.02258	-0.02335	0.87686	-0.03175	0.92334
Pseudoalteromonas	0.03747	0.03803	0.0208	0.87686	0.03175	0.92334
Filomicrobium	0.01496	0.01567	0.06273	0.87686	0.03175	0.92334
Marinihelvus	0.03919	0.04059	0.04926	0.87686	0.03175	0.92334
Leeia	0.01882	0.01848	-0.02505	0.87686	-0.03175	0.92334
Denitromonas	0.02463	0.02483	0.01134	0.87686	-0.03175	0.92334
Cyclobacterium	0.02046	0.02021	-0.01708	0.87686	0.03175	0.92334
Candidatus Thioglobus	0.0127	0.01295	0.02626	0.87686	0.03175	0.92334
Roseitranquillus	0.01	0.00985	-0.02046	0.87686	-0.03175	0.92334
Tropicimonas	0.01805	0.01781	-0.01838	0.87686	-0.03175	0.92334
Herpetosiphon	0.01824	0.0182	-0.00338	0.89912	0.02646	0.93439
Acidiferrobacter	0.01785	0.01782	-0.00206	0.89912	-0.02646	0.93439
Gloeobacter	0.02887	0.02909	0.01037	0.89912	0.02646	0.93439
Maribellus	0.01015	0.01018	0.00399	0.89912	-0.02646	0.93439
Algihabitans	0.01211	0.01225	0.01506	0.89912	0.02646	0.93439
Kordiimonas	0.03302	0.03334	0.01358	0.89912	-0.02646	0.93439
Algiphilus	0.01731	0.01729	-0.00149	0.89912	0.02646	0.93439
Modicisalibacter	0.01252	0.01275	0.02522	0.89912	0.02646	0.93439
Emticicia	0.02871	0.02845	-0.01263	0.89912	-0.02646	0.93439
Novimethylophilus	0.0122	0.01273	0.05685	0.89912	0.02646	0.93439
Marinobacterium	0.0553	0.05625	0.02398	0.89912	0.02646	0.93439
Persicimonas	0.01378	0.01339	-0.03881	0.89912	-0.02646	0.93439
Woeseia	0.07117	0.07213	0.01889	0.89912	0.02646	0.93439
Robiginitomaculum	0.01961	0.01984	0.01593	0.89912	-0.02646	0.93439
Candidatus Contendibacter	0.03821	0.03876	0.02035	0.89912	-0.02646	0.93439
Billgrantia	0.01632	0.01588	-0.03726	0.92145	-0.02116	0.94933
Minwuia	0.01846	0.01817	-0.02154	0.92145	0.02116	0.94933
Sedimenticola	0.03903	0.03919	0.00583	0.92145	-0.02116	0.94933
Congregibacter	0.01049	0.01079	0.03765	0.92145	-0.02116	0.94933
Endozoicomonas	0.02133	0.02147	0.00861	0.92145	0.02116	0.94933
Limobrevibacterium	0.01881	0.0192	0.02862	0.92145	-0.02116	0.94933
Metallibacterium	0.03097	0.03102	0.00207	0.92145	-0.02116	0.94933
Saccharospirillum	0.01328	0.01342	0.01395	0.92145	-0.02116	0.94933
Methylobacter	0.07535	0.07601	0.01237	0.92145	0.02116	0.94933
Arenimonas	0.11035	0.11028	-0.00083	0.92145	-0.02116	0.94933
Algisphaera	0.01107	0.01111	0.00487	0.94385	-0.01587	0.9649
Pseudogemmatithrix	0.0616	0.06283	0.02819	0.94385	-0.01587	0.9649
Rohdeia	0.03669	0.03782	0.0426	0.94385	0.01587	0.9649
Nitrococcus	0.01423	0.01446	0.02141	0.94385	-0.01587	0.9649
Oleiphilus	0.01118	0.01139	0.02445	0.94385	0.01587	0.9649
Roseospira	0.01893	0.01866	-0.02015	0.94385	-0.01587	0.9649
Aquibaculum	0.01145	0.01141	-0.00389	0.94385	-0.01587	0.9649
Pelagicoccus	0.03855	0.03865	0.00336	0.94385	0.01587	0.9649
Allostella	0.08547	0.08551	0.00071	0.94385	-0.01587	0.9649
Methylosarcina	0.00975	0.01015	0.05292	0.96629	0.01058	0.98195
Ignavibacterium	0.01673	0.01707	0.02732	0.96629	0.01058	0.98195
Spirosoma	0.10119	0.1002	-0.01399	0.96629	-0.01058	0.98195
Elioraea	0.11907	0.11304	-0.07426	0.96629	0.01058	0.98195
Tepidiphilus	0.01546	0.01556	0.00826	0.96629	-0.01058	0.98195
Amphritea	0.01004	0.01025	0.02735	0.96629	0.01058	0.98195
Tistlia	0.0289	0.02944	0.02576	0.96629	0.01058	0.98195
Marinicella	0.01742	0.01736	-0.00422	0.98876	0.00529	0.9946
Haliangium	0.09461	0.09269	-0.02932	0.98876	-0.00529	0.9946
Methylomonas	0.07541	0.07564	0.00439	0.98876	0.00529	0.9946
Bryobacter	0.13223	0.133	0.00834	0.98876	-0.00529	0.9946
Paludibacterium	0.0218	0.02225	0.02787	0.98876	0.00529	0.9946
Geobacter	0.11646	0.1178	0.01641	0.98876	0.00529	0.9946
Scytonema	0.01723	0.01711	-0.00981	0.98876	-0.00529	0.9946
Pelobacter	0.01209	0.01255	0.04965	0.98876	-0.00529	0.9946
Alteraurantiacibacter	0.03673	0.03704	0.01188	0.98876	0.00529	0.9946
Beggiatoa	0.02227	0.02206	-0.01322	0.98876	0.00529	0.9946
Terricaulis	0.10368	0.10231	-0.01909	0.98876	-0.00529	0.9946
Natronospira	0.01682	0.01687	0.00348	0.98876	0.00529	0.9946
Rhizopus	0.013	0.01283	-0.01755	1.0	0.0	1.0
Lewinella	0.01147	0.01172	0.02883	1.0	0.0	1.0
Thiocystis	0.02773	0.02847	0.03654	1.0	0.0	1.0
Candidatus Nitronereus	0.01457	0.01444	-0.01168	1.0	0.0	1.0
Desulfogranum	0.01003	0.00983	-0.02738	1.0	0.0	1.0
Coxiella	0.01411	0.01454	0.04037	1.0	0.0	1.0
Azospira	0.09595	0.09727	0.01946	1.0	0.0	1.0
