sample	AR31	AWTP1-13	Acinetobacter	Aeromonas	Agromyces	Aquipseudomonas	Arthrobacter	Azotobacter	Bacillus	Bacillus_A	Bradyrhizobium	Brocadia	CAVVWJ01	CAYXGZ01	CAZWGW01	Comamonas	Cupriavidus	DASRDR01	DASRRB01	DASSJM01	DASTBR01	DASTBU01	DASTFP01	DATACQ01	DATADW01	DATBIJ01	DATBJG01	DATBJJ01	DATBSL01	DATBVX01	DATCJA01	DATEDA01	DATFEN01	DATFES01	DATFRX01	DATJKD01	DATKFM01	DP-20	Ensifer	Flavobacterium	GMQP-bins7	Geopseudomonas	Gp6-AA40	JAABQT01	JACZVU01	JAEUMW01	JAGVSZ01	JAIBJN01	JAJKIV01	JAJVID01	JAKEFM01	JAOUEA01	JARDZU01	JAREAF01	JBEVEP01	JBGPEQ01	JBIOXB01	Metapseudomonas	Methyloceanibacter	Microbacterium	Mycobacterium	Neobacillus	Nitrosocosmicus	Nitrososphaera	Nitrospira_C	Nitrospira_D	Nocardioides	PNKE01	Palsa-1315	Penicillium	Peribacillus	Pseudolabrys	Pseudonocardia	RHKX01	Ramlibacter	Reyranella	Rhabdochlamydia	Rhizobium	Rubrivivax	SCGC-AG-212-J23	SCUD01	SG8-41	SHXO01	Saccharopolyspora_C	Sphingobacterium	Stenotrophomonas	Streptomyces	TA-21	TH1177	TH5896	VBDM01	VGTJ01	Z2-YC6860	ZC4RG19
SRR24887495	10.3005	0.5085	0.0	0.0	0.465	0.3184	0.0	0.0	0.0	0.0	1.3149	0.0	2.4403	0.0	0.0	0.0	1.4682	3.206	0.0	1.0948	0.0	0.0	0.0	0.0	0.0	2.4636	0.0	2.4522	0.0	6.8208	1.9254	7.065	0.8136	0.0	0.0	0.6851	2.1212	0.0	0.8112	0.0	0.0	0.0	12.289	0.0	0.0	1.1411	0.0	0.0	0.0	1.6879	0.0	0.0	0.6001	0.6303	0.0	1.1831	0.0	0.6791	5.0302	0.0	0.0	0.0	0.0	0.0	3.9746	1.2893	0.0	0.0	0.5563	0.0	0.0	1.4882	0.0	0.0	0.0	1.3733	0.2072	0.3295	0.0	15.2798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4240000000000004	1.7435	0.338	0.0	1.4803	0.0	0.0
SRR24887496	10.5114	0.7654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.467	0.0	1.5077	0.0	0.0	0.0	0.0	2.7937	0.0	1.1815	0.0	0.0	0.0	0.0	0.0	2.0891	0.0	5.4236	0.0	6.3013	1.631	7.3883	0.0	0.0	0.0	0.4549	2.0527	0.0	0.0	0.0	0.0	0.0	6.8897	0.0	0.0	0.5579	0.0	0.0	0.0	1.6723	0.0	0.0	1.0975	0.6229	0.0	1.2215	0.0	0.0	5.2412	0.0	0.0	0.0	0.0	0.0	3.4756	1.1061	0.0	0.0	0.5182	0.0	0.0	1.4838	0.0	0.0	0.0	1.083	0.3857	0.0	0.0	16.1752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.3742	1.822	0.3508	0.0	1.3549	0.0	0.0
SRR24887501	7.9411	0.8747	0.0	0.0	0.4388	0.0	0.0	0.0	0.0	0.0	0.5993	0.0	0.0	0.0	0.0	0.0	0.0	1.2615	0.0	1.6557	0.0	0.0	0.0	0.4949	0.0	2.3915	0.0	0.8967	0.0	3.4272	1.7186	6.601	0.0	0.0	0.0	0.6474	2.0024	0.0	0.0	0.3415	0.0	0.0	14.166599999999999	1.3269	0.0	0.7669	0.0	0.0	0.0	1.7764	2.4146	0.0	0.6314	0.7891	0.0	1.2455	0.0	0.0	2.8618	0.0	0.0	0.0	0.0	0.0	2.4191	0.8725	0.0	0.0	0.9603	0.0	0.0	4.8033	0.0	0.0	0.0	1.254	0.2548	0.0	0.0	20.4124	0.0	1.6828	0.0	0.0	0.0	0.0	0.0	5.042199999999999	2.1291	0.8441	0.0	1.2438	0.0	0.8102
SRR24887502	8.8028	0.7171000000000001	0.0	0.0	2.5493	0.0	0.0	0.0	0.0	0.0	0.9935	0.0	1.9866	0.0	0.0	0.0	0.7497	1.5252	0.0	1.5293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.6335	0.0	4.279	1.6766	5.6878	0.8222	0.0	0.3565	0.4598	1.8725	0.0	0.7058	0.2449	0.0	0.0	14.0531	0.0	0.0	0.6749	0.0	0.0	1.067	1.4312999999999998	0.0	0.0	1.0746	0.5513	0.0	0.9118	0.0	0.0	8.6659	0.0	0.0	0.0	0.0	0.0	3.1432999999999995	0.551	0.0	0.0	0.4144	0.0	0.1625	1.0995	0.0	0.0	0.0	1.0982	0.6387	0.254	0.0	8.8506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.143400000000002	3.1532	0.3923	0.0	1.458	0.0	0.6191
SRR24887504	8.5514	0.6014	0.0	0.0	0.4682	0.0	0.0	0.0	0.0	0.0	0.4178	0.0	0.0	0.0	0.0	0.0	0.0	1.9115	0.0	3.9359	0.0	0.0	0.0	0.9224	0.0	0.0	0.0	2.5478	2.754	2.5008	1.9882	7.6968	0.0	0.0	0.494	0.6997	2.5083	0.0	0.0	0.0	0.0	0.0	12.1252	0.0	0.0	0.6001	0.0	0.0	0.0	0.0	0.0	0.0	2.8312	0.0	0.0	1.2487	0.0	0.0	10.879	0.0	0.0	0.0	0.0	0.0	2.4899	0.5083	0.0	0.0	1.5469	0.0	0.0	2.474	0.0	0.0	0.0	1.1186	0.1905	0.0	0.0	11.121699999999999	1.7397	0.0	0.0	0.0	0.0	0.0	0.0	5.0275	2.7174	1.9188	0.0	1.8356	0.979	0.6494
SRR24887505	9.5395	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1999	0.0	0.0	0.0	0.0	0.0	14.1241	0.0	0.0	0.0	0.0	0.0	6.4715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.2533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.3356	2.3709	2.7054	0.0	0.0	0.0	0.0
SRR24887506	6.7227	0.6714	0.0	0.0	0.2837	0.0	0.0	0.0	0.0	0.0	0.3423	0.0553	0.0	0.0	0.0	0.0	0.0	1.0131	0.0	1.8542999999999998	0.0	0.0	0.0	0.5038	0.0	2.2439	0.0	0.682	0.0	4.3901	1.3489	1.4671	0.0	0.0	0.2272	0.5204	1.609	0.2184	0.0	0.0	0.0	0.0	14.1172	0.7743	0.0	0.0	0.0	0.0	0.0	1.4018000000000002	1.5448	0.0	0.6712	0.545	0.0	1.0028	0.0	0.0	3.9001	0.5711	0.0	0.0	0.0	0.0	4.7406	0.5429	0.0	0.0	0.7765	0.0	0.0	1.7271	0.0	0.0	0.0	0.636	0.2922	0.0	0.0	23.0903	0.0	1.1157	0.0	0.0	0.0	0.0	0.0	13.6981	2.399	0.8021	0.0	0.8684	0.0	0.6292
SRR24887507	10.1587	0.5357	0.0	0.0	0.5959	0.0	0.0	0.0	0.0	0.0	0.4532	0.1597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3136	0.0	0.0	0.0	0.5382	0.0	2.7695	0.0	0.0	1.8088	5.52	1.4993	2.3139	0.0	0.0	0.4504	0.7136	1.8383	0.0	0.0	0.0	0.0	0.0	2.443	1.3827	0.0	0.0	0.0	0.0	0.0	3.1033	2.1374	0.0	1.1306	0.7038	0.0	1.1245	0.0	0.0	5.2775	0.0	0.0	0.0	0.0	0.0	2.3686	0.4876	0.0	0.0	0.7294	0.0	0.0	2.4895	0.0	0.0	0.0	0.0	0.274	0.0	0.0	28.1202	0.0	1.5857	0.0	0.0	0.0	0.0	0.0	6.1867	4.556000000000001	0.9498	0.0	1.0399	0.0	1.2411
SRR24887508	4.8422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4164	0.0	0.0	0.0	0.0	0.0	0.0	1.5981	2.3778	0.0	1.6502	0.0	1.5144	0.0	0.0	0.0	0.0	0.0	5.4689	3.0331	6.3506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0732	1.7252	0.0	0.0	0.0	0.0	3.0954	0.0	0.0	0.0	0.0	0.0	6.6573	0.0	0.0	0.0	1.4427	0.0	0.0	4.8643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0197	0.0	3.2774	0.0	0.0	0.0	0.0	0.0	20.1218	2.873	1.5984	0.0	0.0	0.0	0.0
SRR24887527	4.9847	0.4577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3615	0.0	0.0	0.0	0.0	0.0	1.7122000000000002	1.146	1.9949999999999999	0.0	0.5127	0.0	0.8631	0.0	0.0	0.0	0.0	1.2838	4.8321	1.4948	5.4564	0.0	0.0	0.0	0.0	1.6541	0.2487	0.0	0.0	0.0	0.0	1.4387	0.8454	0.0	0.0	0.9486	0.0	0.0	1.4134	0.0	0.0	1.1743	0.5778	0.0	1.332	0.0	0.0	4.4296999999999995	0.0	0.0	0.0	0.0	0.0	5.4639	0.5138	0.0	0.0	0.4963	0.0	0.0	1.639	0.0	0.0	0.0	0.0	0.1753	0.0	0.0	26.0415	0.0	2.6076	0.0	0.0	0.0	0.0	0.0	18.5974	2.7541	1.4116	0.0	0.6397	0.0	0.4969
SRR24887632	4.2738	0.4457	0.0	0.0	0.4134	0.0	0.0	0.0	0.0	0.0	0.0	0.3268	0.0	0.0	0.0	0.0	0.0	0.8323	1.7381	4.7303	0.1176	0.8212	0.0	0.7373	0.0	2.1874	0.0	0.0	1.0649	4.1517	1.5179	4.5724	0.0	0.0	0.3839	0.0	1.4412	0.2497	0.0	0.0	0.0	0.0	0.8077	0.7537	0.0	0.0	0.0	0.0	0.0	1.0505	0.0	0.3149	1.6473	0.5678	0.4721	1.2681	0.0	0.0	7.7285	0.0	0.0	0.0	0.0	0.0	3.9286	0.0	0.0	0.0	0.3589	0.0	0.0	3.1258999999999997	0.0	0.0	0.0	0.0	0.4673	0.0	0.0	22.897000000000002	0.0	3.1218999999999997	0.0	0.0	0.0	0.0	0.0	15.976500000000001	2.632	1.7328	0.0	0.4056	0.0	0.737
SRR24887633	2.4214	0.4625	0.0	0.0	0.4982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9901	0.0	1.3198	0.0	0.4908	0.0	0.412	0.0	0.0	0.0	0.0	1.7239	1.8486	1.8282	5.8992	0.0	0.0	0.0	0.8533	2.3365	0.0	0.0	0.0	0.0	0.0	13.6966	0.0	0.0	0.0	0.0	0.0	0.0	0.9889	0.0	0.0	0.6769	0.6585	0.0	1.7076	0.0	0.0	2.7849	0.0	0.0	0.0	0.0623	0.0	5.8251	0.5686	0.0	0.0	0.4275	0.0	0.0	2.0541	0.0	0.0	0.0	0.9676	0.241	0.0	0.0	23.39	0.0	1.2782	0.0	0.0	0.0	0.0	0.0	18.6229	3.4707	0.4413	0.0	0.5986	0.0	0.4542
SRR24887634	5.2342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3969	0.0	0.0	0.0	0.0	0.0	6.513	0.0	0.0	0.0	0.0	0.0	4.8946	0.0	0.0	0.0	0.0	0.0	0.0	9.1023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.8821	7.3197	4.1316	0.0	0.0	0.0	0.0
SRR24887635	6.2636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.9169	5.0529	0.0	0.0	0.0	0.0	0.0	7.2447	0.0	0.0	0.0	0.0	0.0	0.0	17.2685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.8571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.9567	5.4396	0.0	0.0	0.0	0.0	0.0
SRR24887636	2.1282	0.4188	0.0	0.0	0.7216	0.3666	0.0	0.0	0.0	0.0	0.0	0.0995	0.0	0.0	0.0	0.0	1.2739	0.0	0.0	1.7058	0.0	0.0	0.0	0.5171	0.0	0.0	0.0	0.0	0.0	1.8268	1.573	5.2287	0.0	0.0	0.0	0.8074	2.1271	0.0	0.3309	0.0	0.0	1.2715	13.1781	0.0	0.0	0.0	0.0	0.0	0.0	0.9144	0.0	0.0	0.7215	0.566	0.0	1.5294	0.0	11.012799999999999	2.0199	0.0	0.0	0.0	0.0625	0.0	5.8369	0.4797	0.0	0.0	0.3781	0.0	0.0	1.9403	0.0	0.0	0.0	0.0	0.1661	0.0	0.0	17.2004	0.0	1.5423	0.0	0.0	0.0	0.0	0.0	17.0818	4.3511999999999995	0.0	0.0	0.6215	0.0	0.0
SRR24887766	6.5708	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.9097	0.0	0.0	0.0	0.0	0.0	8.6306	0.0	0.0	0.0	0.0	0.0	0.0	12.2235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.5114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.1646	3.9893	0.0	0.0	0.0	0.0	0.0
SRR24887773	10.5732	0.7119	0.0	0.0	3.4654	0.3221	0.0	0.0	0.26239999999999997	0.0	1.9739	0.0	2.1216	0.0	0.0	0.0	0.8289	1.5319	0.0	1.4544	0.0	0.0	0.0	0.0	0.0	1.8934	0.0	4.1837	0.0	4.5671	1.3178	5.0203	0.7268	0.0	0.4498	0.4541	1.4898	0.0	1.0352999999999999	0.0	0.0	0.0	6.9563	0.0	0.0	0.468	0.0	0.0	0.7793	1.4879	0.0	0.0	1.0755	0.5031	0.0	1.0212	0.0	0.7646	8.061200000000001	0.0	0.0	0.0	0.0	0.0	2.6774	0.5239	0.255	0.0	0.3642	0.0844	0.4271	1.4028	0.2325	0.3488	0.0	0.8728	1.0067	0.7869999999999999	0.0	9.3198	0.0	0.0	0.0	0.3308	0.0	0.0	0.9431	10.145499999999998	2.8040000000000003	0.337	0.0	1.0975	0.0	0.5394
