sample	AR31	AWTP1-13	Acinetobacter	Aeromonas	Agromyces	Aquipseudomonas	Arthrobacter	Azotobacter	Bacillus	Bacillus_A	Bradyrhizobium	Brocadia	CAVVWJ01	CAYXGZ01	CAZWGW01	Comamonas	Cupriavidus	DASRDR01	DASRRB01	DASSJM01	DASTBR01	DASTBU01	DASTFP01	DATACQ01	DATADW01	DATBIJ01	DATBJG01	DATBJJ01	DATBSL01	DATBVX01	DATCJA01	DATEDA01	DATFEN01	DATFES01	DATFRX01	DATJKD01	DATKFM01	DP-20	Ensifer	Flavobacterium	GMQP-bins7	Geopseudomonas	Gp6-AA40	JAABQT01	JACZVU01	JAEUMW01	JAGVSZ01	JAIBJN01	JAJKIV01	JAJVID01	JAKEFM01	JAOUEA01	JARDZU01	JAREAF01	JBEVEP01	JBGPEQ01	JBIOXB01	Metapseudomonas	Methyloceanibacter	Microbacterium	Mycobacterium	Neobacillus	Nitrosocosmicus	Nitrososphaera	Nitrospira_C	Nitrospira_D	Nocardioides	PNKE01	Palsa-1315	Penicillium	Peribacillus	Pseudolabrys	Pseudonocardia	RHKX01	Ramlibacter	Reyranella	Rhabdochlamydia	Rhizobium	Rubrivivax	SCGC-AG-212-J23	SCUD01	SG8-41	SHXO01	Saccharopolyspora_C	Sphingobacterium	Stenotrophomonas	Streptomyces	TA-21	TH1177	TH5896	VBDM01	VGTJ01	Z2-YC6860	ZC4RG19
SRR24887774	5.1801	0.9622	0.0	0.0	1.0329	0.0	0.0	1.9458	0.0	0.0	1.2414	0.1383	0.0	0.0	0.0	0.0	0.5008	0.0	0.4448	1.4129	0.0	0.0	0.2881	0.3794	0.0	0.0	0.0	1.1326	1.6553	1.1566	1.3774	1.7427	0.0	0.0	0.3388	0.5899	1.6691	0.0	1.3301999999999998	0.0	0.0	1.2171	11.6624	0.9843	0.0	0.0	0.0	0.0	0.0	1.4169	0.0	0.0	1.7007	0.8179	1.1841	1.6722	0.0	0.8809	9.639100000000003	0.0	0.0	0.0	0.0	0.0	7.688000000000001	0.7952	0.0	0.0	1.2633	0.0	0.0	5.2226	0.3231	0.0	0.0	0.9145	0.2153	0.0	0.0	18.3885	0.0	1.1069	0.0	0.0	0.0	0.0	0.0	4.6065	1.2238	0.6033	0.0	1.3609	0.0	0.5931
SRR24887777	4.6732	0.3604	0.0	0.0	0.4347	0.0	0.0	0.0	0.0	0.0	0.0	0.1938	0.0	0.0	0.0	0.0	0.0	0.8608	0.0	2.0338000000000003	0.0	0.3615	0.0	0.4539	0.0	0.0	0.0	0.0	1.5185	1.9008	1.5185	5.2723	0.0	0.0	0.2685	0.99	2.0341	0.0	0.2607	0.0	0.0	0.0	12.647	0.5817	0.0	0.0	0.0	0.5164	0.0	0.9845	0.0	0.0	0.7836	0.6138	0.0	1.4743	0.0	0.0	3.9158	0.0	0.0	0.0	0.0	0.1329	5.2103	0.4273	0.0	0.0	0.4371	0.0	0.0	1.8928	0.0	0.0	0.0	0.911	0.3768	0.0	0.0	18.740499999999997	0.0	0.915	0.0	0.0	0.0	0.0	0.0	16.852199999999996	7.6798	0.4909	0.0	0.5662	0.0	0.714
SRR24888034	6.6954	0.505	0.0	0.0	2.4551	0.2513	0.2692	0.0	0.0	0.0	0.4351	0.0726	0.0	0.0	0.0	0.0	0.3772	0.836	0.0	5.0809999999999995	0.0	0.0	0.0	0.4524	0.0	1.6422	0.0	0.7174	1.155	3.4957	1.0741	3.9037	0.0	0.0	0.2743	0.3685	1.5435	0.0	0.2348	0.0	0.0	0.0	5.0086	0.721	0.0	0.0	0.0	0.3936	0.0	1.6745	1.5222	0.0	1.2061	0.4914	0.8742	0.9036	0.0	0.8103	3.4921	0.5606	0.0	0.0	0.0	0.0737	4.0537	0.3219	0.2968	0.0	0.5225	0.0	0.3954	3.0996	0.0	0.0	0.0	0.0	0.2556	0.2694	0.0	23.232200000000002	0.0	0.8825	0.0	0.0	0.0	0.0	0.5211	12.319200000000002	2.023	0.684	0.0	0.9647	0.0	0.5871
SRR24888047	9.5641	1.125	0.0	0.0	0.7401	0.0	0.0	0.0	0.0	0.0	3.1098000000000003	0.0	2.3794	0.0	0.0	0.0	1.1835	1.7325	0.0	1.1607	0.0	0.0	0.0	0.0	0.0	2.6706	0.0	2.6463	0.0	6.727	0.0	7.0973	0.0	0.0	0.0	0.7931	2.5224	0.0	0.9214	0.0	0.0	0.0	11.2925	0.0	0.0	1.4835	0.0	0.0	0.0	2.1327	0.0	0.0	0.7134	0.0	0.0	1.1928	0.0	0.9237	6.6255	0.0	0.0	0.0	0.0	0.0	1.8666999999999998	1.0853	0.0	0.0	0.0	0.0	0.0	1.6048	0.0	0.0	0.0	1.6166	0.3082	0.2686	1.7675	13.8836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3968	1.9768000000000001	0.3231	0.0	1.1648	0.0	0.0
SRR24888113	3.8672	0.3664	0.0	0.0	0.4511	0.0	0.0	0.0	0.0	0.0	0.0	0.2162	0.0	0.0	0.0	0.0	0.0	0.7295	0.8843	1.9657	0.0	0.6406	0.0	0.8181	0.0	0.0	0.0	0.0	1.1496	3.8344	1.4307	4.7043	0.0	0.0	0.2141	0.426	1.5782	0.1946	0.0	0.0	0.0	0.0	11.4291	0.5963	0.0	0.0	0.0	0.0	0.0	0.649	0.0	0.264	1.1952	0.5541	0.0	1.223	0.0	0.0	4.8921	0.0	0.0	0.0	0.0	0.0	4.3787	0.0	0.0	0.0	0.4404	0.0	0.0321	2.7983000000000002	0.0	0.0	0.0	0.7681	0.5193	0.0	0.0	22.6558	0.0	2.3936	0.0	0.0	0.0	0.0	0.0	15.7384	3.9122	1.1845	0.0	0.4407	0.0	0.4641
SRR24888123	2.1068	0.4574	0.378	0.5139	0.4791	0.7457	0.0	0.0	0.0	0.1076	0.5569	0.1635	0.0	0.0	0.0	0.2827	0.368	0.7218	0.8463	1.7136	0.0	0.4956	0.0	1.1371	0.0	2.1895	0.0	0.0	1.0494	2.1815	1.5094	4.6569	0.0	0.0	0.0	0.0	1.52	0.2772	0.0	0.1801	0.0	1.0312	9.600999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.842	0.0	0.0	1.3126	0.71	0.6831	1.2148	0.0	2.4509	3.5298999999999996	0.0	0.0	0.0	0.0	0.0	5.114	0.5544	0.0	0.0	0.5029	0.0	0.0721	4.4301	0.0	0.0	0.0	0.665	0.2211	0.0	0.0	18.3455	0.0	2.383	0.0	0.0	0.1242	0.0	0.0	16.976599999999998	2.4898000000000002	1.1405	0.0	0.5645	0.0	0.403
SRR24888217	3.4204	0.6874	0.0	0.0	0.4196	0.0	0.0	0.0	0.0	0.0	0.0	0.1856	0.0	0.0	0.0	0.0	0.0	0.6434	0.0	3.5913	0.0	0.2747	0.0	0.4094	0.0	4.7358	0.0	0.0	1.223	3.3385	1.3539	4.5004	0.0	0.0	0.3886	0.7823	3.0694	0.0	0.0	0.0	0.2803	0.0	6.6329	0.0	0.0	0.0	0.0	0.3746	0.0	1.0043	0.0	0.0	1.2001	0.4878	0.3873	1.1502	0.0	0.0	5.956100000000001	0.0	0.0	0.0	0.0	0.178	5.4631	0.4344	0.0	0.0	0.4195	0.0	0.0	3.3685	0.0	0.0	0.0	0.8041	0.6263	0.0	0.0	17.655	0.0	1.1097000000000001	0.0	0.0	0.0	0.0	0.0	13.2382	8.6131	0.373	0.0	0.7003	0.0	0.5192
SRR24888308	1.7305	0.4017	0.0	0.0	0.0	0.0	0.0	0.455	0.0	0.0	0.6281	0.5788	0.0	0.6125	0.0	0.0	0.3767	4.3644	0.0	1.0267	0.0	0.4672	0.0	0.7221	0.0	0.0	0.57	0.0	1.204	0.8601	1.3442	7.3792	0.0	0.9382	0.0	1.0821	1.9216	0.3377	0.0	0.1586	0.0	1.8667	7.575699999999999	0.757	0.0	0.0	2.069	0.0	0.0	0.4655	0.0	0.0	0.7372	1.642	0.9003	1.3486	0.0	0.0	4.8575	0.0	0.0	0.0	0.0	0.0	8.739999999999998	1.0869	0.0	0.0	0.9415	0.0	0.0	4.0707	0.2515	0.0	0.8088	0.7237	0.3707	0.0	1.4105	19.3208	0.0	1.3734	1.0477	0.0	0.0	0.0	0.0	4.6129	2.6275	1.5528	0.0	0.6785	1.0029	0.0
SRR24888309	6.6153	0.4877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5036	0.0	0.0	0.0	0.0	1.2009	0.0	3.1127	0.0	0.0	0.0	0.0	0.0	1.517	0.0	0.0	0.0	1.6964	1.5346	7.0552	0.0	0.3693	0.2925	0.5911	1.9646	0.0	0.0	0.0	0.7473	0.0	15.2359	1.0652	0.0	0.0	1.6758	0.0	0.0	1.0489000000000002	0.0	0.0	1.6988	0.8492	0.4584	1.0626	0.0	0.0	11.350700000000002	0.0	0.0	0.0	0.0	0.0	1.7282	0.0	0.0	0.0	3.0808999999999997	0.0	0.0	1.5491	0.0	0.0	0.0	0.885	0.6879	0.0	0.0	17.6264	0.0	0.0	0.0	0.0	0.0	0.0	0.7018	5.3138	2.6413	0.5424	0.0	0.4116	1.6976	0.0
SRR24888310	2.0904	0.4864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6815	1.9055	0.5271	0.0	0.0	0.0	3.37	0.0	1.3105	0.0	0.3984	0.0	0.7593	0.0	1.3501	0.7655	0.0	1.5193	0.8027	1.2878	6.952	0.0	0.0	0.0	0.8045	1.9148	0.3485	0.0	0.2614	0.0	0.0	1.3387	0.7919	0.0	0.5709	0.0	0.0	0.0	0.4213	0.0	0.0	1.4231	2.1014999999999997	0.5489	2.008	0.0	0.0	9.0867	0.0	0.0	0.0	0.0	0.0	7.4902999999999995	1.2998	0.0	0.0	1.0686	0.0	0.0	4.6346	0.0	0.0	0.7569	0.8063	0.5183	0.0	1.5164	12.674700000000001	0.0	0.9958	0.9127	0.0	0.0	0.2768	0.0	14.1463	3.2277	2.0424	0.0	0.5858	1.2198	0.0
SRR24888329	1.6609	0.3486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4936	0.4378	0.0	0.5627	0.0	0.0	0.0	2.3529999999999998	0.0	0.9032	0.0	0.3139	0.0	0.7336	0.0	1.029	0.6312	0.0	1.2059	0.762	1.1711	7.2231	0.0	0.0	0.0	0.6668	1.7653	0.2418	0.0	0.0	0.0	0.0	5.5286	0.7536	0.0	0.5741	4.02	0.0	0.0	0.8978	0.0	0.0	0.849	1.6865	0.0	1.6222	0.0	0.0	6.131099999999999	0.0	0.0	0.0	0.0	0.0	7.1785000000000005	2.8197	0.0	0.0	2.3284000000000002	0.0	0.0	7.8909	0.0	0.0	0.0	1.4383	0.4051	0.0	1.0567	18.6719	0.0	1.2459	0.9644	0.0	0.0	0.0	0.0	6.125	2.4694	1.4215	0.0	0.6637	0.7542	0.0
SRR24888330	12.0576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6292	0.0	0.0	0.0	0.0	0.0	10.4848	0.0	0.0	0.0	0.0	0.0	0.0	14.0118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.2299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.1985	6.3881	0.0	0.0	0.0	0.0
SRR24888352	6.7828	0.6341	0.0	0.0	0.0	0.0	0.1815	0.0	0.5484	0.0	0.0	0.1117	0.0	0.0	0.4958	0.0	0.0	0.8576	0.0	2.2665	0.0	0.0	0.0	0.0	0.3016	0.0	0.0	0.0	1.2428	1.5502	5.2319	7.4639	0.6343	0.0	0.0	0.0	1.3871	0.0	0.0	0.1099	0.0	0.0	10.418999999999999	0.0	0.4392	0.0	0.0	0.0	0.0	0.86	1.316	0.0	1.179	1.2648000000000001	0.0	0.8383	0.2962	0.0	9.6656	0.0	0.0	0.0369	0.0	0.0	2.1762	0.0	0.0	0.0	1.1054	0.0	0.1779	3.2437	0.0	0.0	0.0	2.184	1.2485	0.0	0.0	17.643900000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.314200000000001	0.5468	0.7282	0.0	0.5241	0.9922	0.0
SRR24888482	7.9432	0.4199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7461	0.0	0.5064	0.0	0.0	0.838	0.0	1.0098	0.0	0.0	0.0	0.3526	0.0	1.6913	0.0	0.0	1.2615	2.2439	1.3221	8.1436	0.0	0.0	0.0	0.0	1.8374	0.0	0.0	0.322	0.0	0.0	12.6215	0.0	0.5023	0.6576	1.7684	0.0	0.0	0.4024	1.1538	0.0	0.9049	1.7127000000000001	0.0	1.2671	0.2741	0.0	3.6962	0.0	0.0	0.0	0.0	0.0	1.7096	0.9467	0.0	0.0	0.7077	0.0	0.0	3.5961	0.0	0.0	0.0	2.2519	0.2416	0.0	0.0	23.4852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.5373	0.7353999999999999	0.3658	1.5201	0.4931	0.8107	0.0
SRR24888489	5.6282	0.5398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8013	0.0725	1.609	0.0	0.0	0.0	0.0	0.9182	0.0	1.1416	0.0	0.0	0.0	0.3315	0.0	2.1635	0.0	0.0	0.0	2.0201	1.3459	6.9933	0.7108	0.0	0.0	0.0	1.6055	0.0	0.3172	0.2674	0.0	0.727	10.239600000000001	0.0	0.0	1.1071	1.6808	0.0	0.0	0.271	0.6542	0.0	0.8363	1.7746	0.7618	1.0334	0.2741	0.0	4.6899999999999995	0.0	0.0	0.0	0.0	0.0	1.6183	1.2	0.0	0.0	0.715	0.0	0.0	5.5907	0.0	0.0	0.0	2.3266	0.3488	0.0	0.0	17.436700000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.7949	1.5535	0.622	0.0	0.4866	1.791	0.0
SRR24888613	20.751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.6904	0.0	0.0	0.0	0.0	0.0	4.2571	0.0	0.0	0.0	0.0	0.0	0.0	17.9728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3527	0.0	0.0	0.0	0.0	0.0	0.0
SRR24888615	7.273	0.607	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9072	0.0943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0814	0.0	0.0	0.0	0.0	0.0	1.643	0.0	0.0	0.0	2.1602	1.5111	9.3373	0.6992	0.0	0.0	0.0	1.9116	0.0	0.0	0.1459	0.0	0.9875	10.7613	0.0	0.6001	1.0394	2.3997	0.0	0.0	0.4279	1.1794	0.0	0.607	1.6306	0.0	1.0302	0.4613	0.0	5.7292000000000005	0.0	0.0	0.0	0.0	0.0	1.7913	1.4336	0.0	0.0	0.7978	0.0	0.0	5.7452	0.0	0.0	0.0	2.5419	0.3845	0.0	0.0	24.4206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4669	0.8346	0.5752	0.0	0.0	1.7834	0.0
SRR24888635	2.0521	0.4108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4034	0.0	0.0	0.0	0.0	0.0	1.9817	0.0	1.7218	0.0	0.0	0.0	0.541	0.0	0.0	0.8258	0.0	1.479	0.8789	1.4663	7.9621	0.0	0.8428	0.0	0.9313	1.7108	0.3857	0.0	0.0	0.0	0.0	6.617900000000001	0.9221	0.0	0.0	0.0	0.0	0.0	0.6839	0.0	0.0	1.2786	1.0577	0.0	1.031	0.0	0.0	5.121700000000001	0.0	0.0	0.0	0.0	0.0	5.0305	0.0	0.0	1.9267	0.6193	0.0	0.0	3.6153	0.0	0.0	0.0	1.8318	0.7721	0.0	0.0	28.0457	0.0	2.7379	1.1584	0.0	0.0	0.0	0.0	8.7035	2.6468000000000003	1.5848	0.0	0.6075	0.0	0.4134
SRR24888648	1.5176	0.382	0.0	0.0	0.6709	0.0	0.0	0.0	0.0	0.0	0.3905	0.4019	0.0	0.0	0.0	0.0	0.0	1.4196	0.0	2.1043	0.0	0.3496	0.0	0.533	0.2348	0.0	0.6739	0.0	0.9995	0.6789	1.2744	6.0752	0.0	0.7773	0.2879	0.8629	1.1802	0.2605	0.0	0.0	0.0	0.0	4.478	0.6805	0.0	0.0	1.3338	0.4346	0.0	0.5814	0.0	0.3149	1.5789	1.2393	0.565	0.9013	0.0	0.5287	11.7962	0.0	0.1823	0.1885	0.0	0.0	4.9691	0.0	0.4348	1.1412	0.6411	0.0	0.5497000000000001	3.0486	0.2067	0.0	0.0	1.3749	0.8265	0.0	1.0391	24.749499999999998	0.0	1.9639000000000002	0.9482	0.0	0.0	0.0	0.8472999999999999	7.5737000000000005	1.5070000000000001	1.4074	0.0	0.4733	0.0	0.4195
